Filtering the log data using "process == "Voxa""
Timestamp                       Thread     Type        Activity             PID    TTL  
2026-04-08 00:31:22.238347-0500 0x6d76b9   Debug       0x0                  48909  0    Voxa: (CoreSpotlight) [com.apple.corespotlight:index] Opening an index batch for index:<private>
2026-04-08 00:31:22.238377-0500 0x6d76b9   Debug       0x0                  48909  0    Voxa: (CoreSpotlight) [com.apple.corespotlight:index] Batching deletes for 0 identifiers
2026-04-08 00:31:22.238412-0500 0x6d76b9   Debug       0x0                  48909  0    Voxa: (CoreSpotlight) [com.apple.corespotlight:index] Batching 2 items
2026-04-08 00:31:22.238436-0500 0x6d76b9   Debug       0x0                  48909  0    Voxa: (CoreSpotlight) [com.apple.corespotlight:index] Finishing index batch
2026-04-08 00:31:22.238453-0500 0x6d76b9   Activity    0xcc65e1             48909  0    Voxa: (CoreSpotlight) end-index-batch
2026-04-08 00:31:22.238472-0500 0x6d76b9   Debug       0xcc65e1             48909  0    Voxa: (CoreSpotlight) [com.apple.corespotlight:index] (<private>) indexSearchableItems, clientState:<private>/0, protectionClass:(null), items/2:<private>, deleteIdentifiers/0:<private>, options:0x0
2026-04-08 00:31:22.238796-0500 0x6d76b9   Activity    0xcc65e2             48909  0    Voxa: (CoreSpotlight) index-items
2026-04-08 00:31:22.239086-0500 0x6d76b9   Debug       0x0                  48909  0    Voxa: (CoreSpotlight) [com.apple.corespotlight:default] index items: 2, bytes: 1261
2026-04-08 00:31:22.239899-0500 0x6d76b9   Debug       0xcc65e1             48909  0    Voxa: (CoreFoundation) [com.apple.CFBundle:strings] Bundle: <private>, key: <private>, value: (null), table: FoundationErrors, localizationNames: (null), result: Couldn’t communicate with a helper application.
2026-04-08 00:31:22.240116-0500 0x6d76b9   Debug       0xcc65e1             48909  0    Voxa: (CoreSpotlight) [com.apple.corespotlight:default] ~~~ retryIfNecessaryWithError: Error Domain=NSCocoaErrorDomain Code=4097
2026-04-08 00:31:22.240195-0500 0x6d76b9   Debug       0xcc65e1             48909  0    Voxa: (CoreSpotlight) [com.apple.corespotlight:default] index items: 2, bytes: 1261
2026-04-08 00:31:22.240623-0500 0x6d76b9   Debug       0x0                  48909  0    Voxa: (CoreFoundation) [com.apple.CFBundle:strings] Bundle: <private>, key: <private>, value: (null), table: FoundationErrors, localizationNames: (null), result: Couldn’t communicate with a helper application.
2026-04-08 00:31:22.240672-0500 0x6d76b9   Debug       0x0                  48909  0    Voxa: (CoreSpotlight) [com.apple.corespotlight:default] ~~~ retryIfNecessaryWithError: Error Domain=NSCocoaErrorDomain Code=4097
2026-04-08 00:31:22.240818-0500 0x6d76b9   Debug       0x0                  48909  0    Voxa: (CoreFoundation) [com.apple.CFBundle:strings] Bundle: <private>, key: <private>, value: (null), table: FoundationErrors, localizationNames: (null), result: Couldn’t communicate with a helper application.
